Strategy,Method,KNN,Mean AMCA,Architecture,Forgetting,Forgetting (0-10)
EWC,EWC-APE,15,0.965,Attention,0.0019352869352869,5.1
EWC,EWC-APE,20,0.968,Attention,-0.0205006105006105,3.97
EWC,EWC-APE,25,0.97,Attention,-0.0144230769230769,4.28
EWC,EWC-APE,30,0.969,Attention,-0.0032051282051282,4.84
EWC,EWC-APE,50,0.968,Attention,-0.0365567765567765,3.17
EWC,EWC-Original,15,0.96,Attention,-0.0144230769230769,4.28
EWC,EWC-Original,20,0.964,Attention,-0.0115506715506715,4.42
EWC,EWC-Original,25,0.962,Attention,-0.0368284493284492,3.16
EWC,EWC-Original,30,0.96,Attention,-0.0154822954822955,4.23
EWC,EWC-Original,50,0.966,Attention,-0.0243406593406593,3.78
GEM,GEM-APE,15,0.968,Attention,-0.0733852258852258,1.33
GEM,GEM-APE,20,0.967,Attention,-0.0515842490842491,2.42
GEM,GEM-APE,25,0.968,Attention,-0.0374938949938949,3.13
GEM,GEM-APE,30,0.967,Attention,-0.0435714285714285,2.82
GEM,GEM-APE,50,0.966,Attention,-0.0387942612942613,3.06
GEM,GEM-Original,15,0.966,Attention,-0.032020757020757,3.4
GEM,GEM-Original,20,0.965,Attention,-0.0278785103785104,3.61
GEM,GEM-Original,25,0.966,Attention,-0.0416361416361416,2.92
GEM,GEM-Original,30,0.965,Attention,-0.0253083028083028,3.73
GEM,GEM-Original,50,0.966,Attention,-0.0249755799755799,3.75
LwF,LwF-APE,15,0.969,Attention,0.0012698412698412,5.06
LwF,LwF-APE,20,0.966,Attention,-0.0064102564102564,4.68
LwF,LwF-APE,25,0.969,Attention,0.0032051282051282,5.16
LwF,LwF-APE,30,0.967,Attention,0.0032051282051281,5.16
LwF,LwF-APE,50,0.967,Attention,0.0096153846153846,5.48
LwF,LwF-Original,15,0.963,Attention,-0.0131227106227106,4.34
LwF,LwF-Original,20,0.962,Attention,-0.0096153846153846,4.52
LwF,LwF-Original,25,0.961,Attention,-0.010552503052503,4.47
LwF,LwF-Original,30,0.962,Attention,-0.0089499389499388,4.55
LwF,LwF-Original,50,0.964,Attention,-0.0092826617826617,4.54
Naive,Naive-APE,15,0.967,Attention,-0.0294810744810745,3.53
Naive,Naive-APE,20,0.963,Attention,-0.0153907203907204,4.23
Naive,Naive-APE,25,0.966,Attention,-0.0205006105006105,3.97
Naive,Naive-APE,30,0.965,Attention,0.0022680097680097,5.11
Naive,Naive-APE,50,0.958,Attention,0.014090354090354,5.7
Naive,Naive-Original,15,0.962,Attention,-0.0153601953601953,4.23
Naive,Naive-Original,20,0.961,Attention,-0.0150274725274725,4.25
Naive,Naive-Original,25,0.963,Attention,-0.0089804639804639,4.55
Naive,Naive-Original,30,0.963,Attention,-0.0182936507936507,4.09
Naive,Naive-Original,50,0.964,Attention,-0.0221031746031746,3.89
EWC,EWC-APE,15,0.969,Residual,-0.025006105006105,3.75
EWC,EWC-APE,20,0.97,Residual,-0.0493467643467643,2.53
EWC,EWC-APE,25,0.97,Residual,-0.019563492063492,4.02
EWC,EWC-APE,30,0.968,Residual,-0.0423015873015872,2.88
