Strategy,Method,KNN,Mean AMCA,Forgetting,Architecture,Best_Seed
EWC,EWC-APE,15,0.965112193345313,0.001935286935286921,Attention,25
EWC,EWC-APE,20,0.9679938374299087,-0.02050061050061051,Attention,25
EWC,EWC-APE,25,0.969650946607714,-0.014423076923076908,Attention,25
EWC,EWC-APE,30,0.9689743650570843,-0.003205128205128268,Attention,25
EWC,EWC-APE,50,0.9676952895245359,-0.03655677655677658,Attention,51
EWC,EWC-Original,15,0.9597778055660221,-0.014423076923076908,Attention,25
EWC,EWC-Original,20,0.9643074293598678,-0.011550671550671576,Attention,25
EWC,EWC-Original,25,0.9616523980430592,-0.036828449328449274,Attention,100
EWC,EWC-Original,30,0.9603479661180921,-0.015482295482295516,Attention,51
EWC,EWC-Original,50,0.9655181321170335,-0.02434065934065932,Attention,25
GEM,GEM-APE,15,0.9683915208216783,-0.07338522588522589,Attention,3
GEM,GEM-APE,20,0.96660850206233,-0.05158424908424911,Attention,100
GEM,GEM-APE,25,0.9675508314563989,-0.03749389499389496,Attention,35
GEM,GEM-APE,30,0.9668182606785685,-0.043571428571428594,Attention,100
GEM,GEM-APE,50,0.9661779274027601,-0.0387942612942613,Attention,3
GEM,GEM-Original,15,0.9659959827071187,-0.03202075702075705,Attention,35
GEM,GEM-Original,20,0.9646294254442375,-0.027878510378510413,Attention,35
GEM,GEM-Original,25,0.9660623177558098,-0.0416361416361416,Attention,100
GEM,GEM-Original,30,0.9653628932541208,-0.0253083028083028,Attention,35
GEM,GEM-Original,50,0.9662261280657104,-0.024975579975579976,Attention,3
LwF,LwF-APE,15,0.9685889120052339,0.0012698412698412358,Attention,25
LwF,LwF-APE,20,0.9661230949728866,-0.006410256410256461,Attention,14
LwF,LwF-APE,25,0.9691240915995086,0.003205128205128268,Attention,25
LwF,LwF-APE,30,0.9672038765891932,0.0032051282051281937,Attention,25
LwF,LwF-APE,50,0.9672038765891932,0.009615384615384656,Attention,25
LwF,LwF-Original,15,0.9632856005572051,-0.013122710622710606,Attention,25
LwF,LwF-Original,20,0.9619232027370416,-0.009615384615384618,Attention,25
LwF,LwF-Original,25,0.961412117111737,-0.01055250305250303,Attention,14
LwF,LwF-Original,30,0.9623603276081787,-0.008949938949938896,Attention,14
LwF,LwF-Original,50,0.9642839191784743,-0.00928266178266172,Attention,14
Naive,Naive-APE,15,0.9671362544783607,-0.02948107448107451,Attention,13
Naive,Naive-APE,20,0.9625415119887588,-0.015390720390720425,Attention,3
Naive,Naive-APE,25,0.965577062930929,-0.02050061050061051,Attention,13
Naive,Naive-APE,30,0.9648599386410129,0.0022680097680097453,Attention,3
Naive,Naive-APE,50,0.9583959633545277,0.01409035409035401,Attention,13
Naive,Naive-Original,15,0.9618557869250917,-0.015360195360195358,Attention,3
Naive,Naive-Original,20,0.9607524058281552,-0.015027472527472571,Attention,3
Naive,Naive-Original,25,0.9633263954822716,-0.008980463980463963,Attention,3
Naive,Naive-Original,30,0.9634286329673479,-0.01829365079365079,Attention,13
Naive,Naive-Original,50,0.9636273176652227,-0.022103174603174607,Attention,3
