Strategy,Method,KNN,Mean AMCA,Forgetting,Architecture,Best_Seed
EWC,EWC-APE,15,0.9694100428298671,-0.025006105006105006,Residual,25
EWC,EWC-APE,20,0.9698943568068139,-0.04934676434676436,Residual,51
EWC,EWC-APE,25,0.9704592729553619,-0.01956349206349206,Residual,25
EWC,EWC-APE,30,0.9682012080998589,-0.042301587301587285,Residual,51
EWC,EWC-APE,50,0.9679278935386225,-0.04133394383394381,Residual,51
EWC,EWC-Original,15,0.9660400493175887,-0.02243589743589743,Residual,14
EWC,EWC-Original,20,0.9644431403972332,-0.02434065934065936,Residual,14
EWC,EWC-Original,25,0.9660830965992679,-0.017960927960927964,Residual,14
EWC,EWC-Original,30,0.9682536812275263,-0.003870573870573916,Residual,51
EWC,EWC-Original,50,0.9650782076455434,-0.004474969474969541,Residual,51
GEM,GEM-APE,15,0.969966962612194,-0.00994810744810748,Residual,100
GEM,GEM-APE,20,0.9684130342141879,-0.06507020757020758,Residual,35
GEM,GEM-APE,25,0.9676444009637591,-0.056422466422466434,Residual,35
GEM,GEM-APE,30,0.9674521333900765,-0.019230769230769273,Residual,35
GEM,GEM-APE,50,0.9685019839153073,-0.04199938949938949,Residual,35
GEM,GEM-Original,15,0.9651269282276244,-0.013818681318681358,Residual,51
GEM,GEM-Original,20,0.9654594481640567,-0.012216117216117262,Residual,51
GEM,GEM-Original,25,0.9670810460628809,-0.019230769230769235,Residual,100
GEM,GEM-Original,30,0.9683933820208862,-0.024038461538461564,Residual,100
GEM,GEM-Original,50,0.9678086765862722,-0.028180708180708208,Residual,100
LwF,LwF-APE,15,0.9685072294461458,-0.0022374847374847517,Residual,51
LwF,LwF-APE,20,0.9692984081428846,-0.00864774114774114,Residual,51
LwF,LwF-APE,25,0.9681133596586585,0.0013003663003663402,Residual,51
LwF,LwF-APE,30,0.968960741653131,-0.008012820512820484,Residual,51
LwF,LwF-APE,50,0.9683037660331334,-0.0003021978021978307,Residual,51
LwF,LwF-Original,15,0.9625122357980086,-0.004807692307692328,Residual,51
LwF,LwF-Original,20,0.9620556215923437,-0.000967643467643479,Residual,51
LwF,LwF-Original,25,0.9610892996536103,-0.004142246642246679,Residual,51
LwF,LwF-Original,30,0.9615442360155012,-0.0044749694749695035,Residual,51
LwF,LwF-Original,50,0.9613923507691199,-0.0041727716727717095,Residual,51
Naive,Naive-APE,15,0.9652480132071325,-0.027213064713064766,Residual,25
Naive,Naive-APE,20,0.9657021458138536,0.009313186813186825,Residual,25
Naive,Naive-APE,25,0.9686594298158635,0.009917582417582374,Residual,25
Naive,Naive-APE,30,0.9669669015086445,0.015692918192918143,Residual,25
Naive,Naive-APE,50,0.9665970090940235,0.00033272283272289815,Residual,25
Naive,Naive-Original,15,0.948271390353007,-0.012185592185592195,Residual,3
Naive,Naive-Original,20,0.9514182692026717,-0.01826312576312572,Residual,3
Naive,Naive-Original,25,0.9592749673654023,0.011971916971916944,Residual,25
Naive,Naive-Original,30,0.9580072861994157,0.018653846153846132,Residual,25
Naive,Naive-Original,50,0.9604499686602038,0.0021459096459095863,Residual,25
