Strategy,Method,KNN,Mean AMCA,Forgetting,Architecture,Best_Seed
EWC,EWC-APE,15,0.935247175602412,0.02083333333333337,Smlp,35
EWC,EWC-APE,20,0.9362982669271148,0.01602564102564104,Smlp,35
EWC,EWC-APE,25,0.9337837634780567,0.01275946275946275,Smlp,100
EWC,EWC-APE,30,0.9362034336768338,0.015057997557997527,Smlp,51
EWC,EWC-APE,50,0.9388130502623347,0.001602564102564134,Smlp,35
EWC,EWC-Original,15,0.9266867065102238,-0.015027472527472533,Smlp,51
EWC,EWC-Original,20,0.9306264037851543,-0.020167887667887685,Smlp,35
EWC,EWC-Original,25,0.9306828530001058,-0.017597680097680073,Smlp,35
EWC,EWC-Original,30,0.9314896615401927,-0.021770451770451782,Smlp,35
EWC,EWC-Original,50,0.9301428935633771,-0.016660561660561696,Smlp,35
GEM,GEM-APE,15,0.9522331867552069,0.007347374847374836,Smlp,3
GEM,GEM-APE,20,0.9522177402672926,0.00958485958485955,Smlp,3
GEM,GEM-APE,25,0.9526358333448641,0.011520146520146471,Smlp,3
GEM,GEM-APE,30,0.9506718594472668,0.010552503052502993,Smlp,3
GEM,GEM-APE,50,0.9524299804824751,0.009584859584859587,Smlp,3
GEM,GEM-Original,15,0.9400037261045534,-0.006169108669108654,Smlp,3
GEM,GEM-Original,20,0.9396377394437819,-0.002329059829059806,Smlp,3
GEM,GEM-Original,25,0.9403189383538636,-0.004233821733821697,Smlp,3
GEM,GEM-Original,30,0.9389771335749358,0.0024481074481074914,Smlp,3
GEM,GEM-Original,50,0.941889050235624,-0.009615384615384581,Smlp,3
LwF,LwF-APE,15,0.9408260490192003,0.002237484737484715,Smlp,51
LwF,LwF-APE,20,0.9408260490192003,0.002237484737484715,Smlp,51
LwF,LwF-APE,25,0.9441479867329426,0.000967643467643479,Smlp,51
LwF,LwF-APE,30,0.9426252717589629,-0.0009371184371184486,Smlp,51
LwF,LwF-APE,50,0.9412968689133075,-0.0009371184371184486,Smlp,51
LwF,LwF-Original,15,0.939513283788543,-0.004807692307692291,Smlp,51
LwF,LwF-Original,20,0.9400036392798478,-0.009615384615384581,Smlp,51
LwF,LwF-Original,25,0.9374626793057685,-0.00030219780219779374,Smlp,51
LwF,LwF-Original,30,0.9374266397766188,0.006410256410256461,Smlp,51
LwF,LwF-Original,50,0.936215323447667,0.00704517704517708,Smlp,51
Naive,Naive-APE,15,0.9346003842646035,-0.0006654456654456853,Smlp,14
Naive,Naive-APE,20,0.9344245976794242,0.012185592185592157,Smlp,35
Naive,Naive-APE,25,0.9348465965108451,0.01058302808302806,Smlp,35
Naive,Naive-APE,30,0.9350730424144698,0.008980463980463963,Smlp,35
Naive,Naive-APE,50,0.9366091593217222,0.011852869352869333,Smlp,35
Naive,Naive-Original,15,0.9268297633669039,-0.015027472527472533,Smlp,35
Naive,Naive-Original,20,0.9274754265514676,-0.01185286935286937,Smlp,3
Naive,Naive-Original,25,0.9256534291230635,-0.010854700854700935,Smlp,35
Naive,Naive-Original,30,0.9257262656738631,-0.0035073260073260246,Smlp,3
Naive,Naive-Original,50,0.926052673762503,-0.006410256410256461,Smlp,3
