Strategy,Architecture,SelectionStrategy,ExecutionTime
Naive,attention,Random,12.941499471664429
Naive,attention,TADILER,13.243795156478882
Naive,smlp,Random,12.481609582901001
Naive,smlp,TADILER,12.170787811279297
Naive,residual,Random,12.666378259658813
Naive,residual,TADILER,13.350225925445557
GEM,attention,Random,14.38040018081665
GEM,attention,TADILER,15.01410436630249
GEM,smlp,Random,15.074720859527588
GEM,smlp,TADILER,17.461899995803833
GEM,residual,Random,14.874651908874512
GEM,residual,TADILER,14.9070565700531
LwF,attention,Random,12.526793241500854
LwF,attention,TADILER,14.166727066040039
LwF,smlp,Random,13.129735231399536
LwF,smlp,TADILER,12.779177904129028
LwF,residual,Random,13.00780987739563
LwF,residual,TADILER,13.978914260864258
EWC,attention,Random,13.762035608291626
EWC,attention,TADILER,15.155201196670532
EWC,smlp,Random,13.017918348312378
EWC,smlp,TADILER,13.276211261749268
EWC,residual,Random,13.684881210327148
EWC,residual,TADILER,15.218627452850342
Naive,attention,Random,12.777735948562622
Naive,attention,TADILER,12.912967920303345
Naive,smlp,Random,13.15645170211792
Naive,smlp,TADILER,13.250645399093628
Naive,residual,Random,12.969006776809692
Naive,residual,TADILER,12.731192111968994
GEM,attention,Random,15.469763040542603
GEM,attention,TADILER,15.445664167404175
GEM,smlp,Random,14.361327648162842
GEM,smlp,TADILER,15.306346654891968
GEM,residual,Random,15.189014673233032
GEM,residual,TADILER,15.911642074584961
LwF,attention,Random,12.846553087234497
LwF,attention,TADILER,14.225083827972412
LwF,smlp,Random,13.934298753738403
LwF,smlp,TADILER,14.11397671699524
LwF,residual,Random,13.135600090026855
LwF,residual,TADILER,14.151118516921997
EWC,attention,Random,14.45999550819397
EWC,attention,TADILER,15.081255197525024
